,cid,canonical_smiles,molecular_weight,xlogp
0,712,C=O,30.026,1.2
1,5742,C(=N)(N)N.Cl,95.53,
2,5744,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O,404.5,2.2
3,5280793,CC(C)C(C)C=CC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C,396.6,7.4
4,612,CC(C(=O)O)O,90.08,-0.7
5,5754,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,362.5,1.6
6,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,308.4,3.2
7,5768,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,746.9,
8,5770,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,608.7,4
9,5202,C1=CC2=C(C=C1O)C(=CN2)CCN,176.21,0.2
10,5779,C(C1C(C(C(O1)O)O)O)O,150.13,-2
11,5780,C(C(C(C(C(CO)O)O)O)O)O,182.17,-3.1
12,2244,CC(=O)OC1=CC=CC=C1C(=O)O,180.16,1.2
13,54670067,C(C(C1C(=C(C(=O)O1)O)O)O)O,176.12,-1.6
14,5789,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,242.23,-1.2
15,65326,CC(C(C1=CC=CC=C1)O)NC.Cl,201.69,
16,5793,C(C1C(C(C(C(O1)O)O)O)O)O,180.16,-2.6
17,5794,CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2,338.4,3.7
18,5795,CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl,272.77,
19,5798,C1=CC=C2C(=C1)NC=N2,118.14,1.3
20,2723877,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,303.35,0.9
21,440015,C1C(CNC1C(=O)O)O,131.13,-3.3
22,774,C1=C(NC=N1)CCN,111.15,-0.7
23,5821,CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,356.25,
24,5610,C1=CC(=CC=C1CCN)O,137.18,1.1
25,5828,C1=CC(=CC=C1N)O.Cl,145.59,
26,5641,CCOC(=O)N,89.09,-0.2
27,3045332,C1=CC(=CC(=C1)O)[NH3+].[Cl-],145.59,
28,5833,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,416.6,2.9
29,2450,C(C(CO)([N+](=O)[O-])Br)O,199.99,-0.6
30,60960,C(C(C(=O)O)N)S.Cl,157.62,
31,5862,C(C(C(=O)O)N)S,121.16,-2.5
32,222786,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4(C(=O)CO)O)C,360.4,1.5
33,5881,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,288.4,3.2
34,5892,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,663.4,-6
35,89594,CN1CCCC1C2=CN=CC=C2,162.23,1.2
36,1148,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,204.22,-1.1
37,16760658,C1=CC=C(C(=C1)C(=O)[O-])O.[Na+],160.1,
38,92729,CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,416.7,10.3
39,1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,247.14,-1.1
40,16684434,CC[Hg]SC1=CC=CC=C1C(=O)[O-].[Na+],404.82,
41,5909,CCC1C(COC1=O)CC2=CN=CN2C.Cl,244.72,
42,1245,COC1=C(C=CC(=C1)C(C(=O)O)O)O,198.17,-0.2
43,2331,C1=CC=C(C=C1)C(=O)N,121.14,0.6
44,9552079,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,505.4,0.1
45,16682924,C1=CC=C(C=C1)[Hg]O[N+](=O)[O-],339.7,
46,2944,C1=C(NC(=NC1=O)N)N,126.12,-1.8
47,119,C(CC(=O)O)CN,103.12,-3.2
48,5942,C(CN)CNCCCN,131.22,-1.4
49,5943,C(Cl)(Cl)(Cl)Cl,153.8,2.8
50,5944,CC12C3CCC(C1(C(=O)OC2=O)C)O3,196.2,0.6
51,16682746,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,596.1,
52,66133,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],227.77,
53,750,C(C(=O)O)N,75.07,-3.2
54,5735,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,388.8,0.5
55,5951,C(C(C(=O)O)N)O,105.09,-3.1
56,5952,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,372.5,3.1
57,5953,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,324.4,2.9
58,5957,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,507.18,-5.7
59,144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,220.22,-1.2
60,2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,362.8,4.5
61,5959,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],323.13,1.1
62,753,C(C(CO)O)O,92.09,-1.8
63,5960,C(C(C(=O)O)N)C(=O)O,133.1,-2.8
64,5961,C(CC(=O)N)C(C(=O)O)N,146.14,-3.1
65,33032,C(CC(=O)O)C(C(=O)O)N,147.13,-3.7
66,5962,C(CCN)CC(C(=O)O)N,146.19,-3
67,67678,C(C(C(=O)O)N)SSCC(C(=O)O)N,240.3,-6.3
68,5963,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],185.69,
69,9562059,CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,625.5,
70,586,CN(CC(=O)O)C(=N)N,131.13,-1.2
71,5971,C=CCN=C=S,99.16,2.4
72,2005,CC(=O)NCCCCCC(=O)O,173.21,0.1
73,5974,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],364.4,
74,985,CCCCCCCCCCCCCCCC(=O)O,256.42,6.4
75,5281,CCCCCCCCCCCCCCCCCC(=O)O,284.5,7.4
76,1176,C(=O)(N)N,60.056,-1.4
77,5977,CC(C)(C(Cl)(Cl)Cl)O,177.45,2
78,441071,C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75,334.4,1.9
79,5984,C(C(C(C(C(=O)CO)O)O)O)O,180.16,-3.2
80,5988,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,342.3,-3.7
81,1030,CC(CO)O,76.09,-0.9
82,10286365,CC12CCC(CC1CCC3C2C(CC4(C3CCC4=O)C)O)O,306.4,2.5
83,54676345,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,478.9,-1.3
84,5994,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,314.5,3.9
85,444679,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,396.6,7.4
86,5997,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,386.7,8.7
87,64645,C[NH+]1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C6C(CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC.[Cl-].[Cl-],681.6,
88,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,194.19,-0.1
89,4055,CC1=CC(=O)C2=CC=CC=C2C1=O,172.18,2.2
90,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,180.16,0
91,6019,CC1=NC=C(C(=C1O)CO)CO.Cl,205.64,
92,60961,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,267.24,-1.1
93,6021,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)CO)O)O,268.23,-2.1
94,171548,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,244.31,0.3
95,6027,C1C(C(C(C(O1)O)O)O)O,150.13,-2.5
96,3639,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,297.7,-0.1
97,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,295.7,-0.2
98,2117,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,472.7,10.8
99,6029,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,244.2,-2
100,6033,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,430.7,10.7
101,6035,C1C(C(OC1N2C=C(C(=O)NC2=O)Br)CO)O,307.1,-0.3
102,6036,C(C1C(C(C(C(O1)O)O)O)O)O,180.16,-2.6
103,6037,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N,441.4,-1.1
104,5284451,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.C(=CC(=O)O)C(=O)O,401.5,
105,5338,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,300.34,1.7
106,6042,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[Cl-],300.81,
107,6043,C1=CC=C2C(=C1)NC(=O)O2,135.12,1.2
108,1732,CC1=C(C=CC(=C1)O)Cl,142.58,3.1
109,876,CSCCC(C(=O)O)N,149.21,-1.9
110,938,C1=CC(=CN=C1)C(=O)O,123.11,0.4
111,6047,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,197.19,-2.7
112,6049,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,292.24,-5.9
113,6050,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,302.36,2.4
114,6054,C1=CC=C(C=C1)CCO,122.16,1.4
